line_id,p(Contr),p(Entl)
0,0.99955398,0.00019118
1,0.00441572,0.99519664
2,0.99978441,0.00011143
3,0.99966824,0.00028944
4,0.99964893,0.00031050
5,0.00865931,0.99103546
6,0.01477503,0.98477453
7,0.99965727,0.00028257
8,0.99967241,0.00017690
9,0.99918407,0.00065631
10,0.00309775,0.99659389
11,0.01223567,0.98606503
12,0.02974067,0.96982962
13,0.99972790,0.00021277
14,0.99970859,0.00015499
15,0.00385340,0.99583191
16,0.00336108,0.99632263
17,0.01170474,0.98708344
18,0.00351984,0.99608862
19,0.03598727,0.96360803
20,0.01284239,0.98650092
21,0.00259528,0.99713612
22,0.01189644,0.98756218
23,0.01539075,0.98422801
24,0.99973470,0.00019061
25,0.05669273,0.94259983
26,0.99897110,0.00077575
27,0.02125179,0.97802007
28,0.99971956,0.00022980
29,0.00319758,0.99652714
30,0.99973243,0.00022239
31,0.00261507,0.99708527
32,0.99967086,0.00022540
33,0.99977559,0.00015453
34,0.99979287,0.00015498
35,0.02710487,0.97227657
36,0.99969232,0.00016630
37,0.00408270,0.99555701
38,0.99979979,0.00015763
39,0.99980682,0.00012607
40,0.99975640,0.00014810
41,0.99963117,0.00018990
42,0.99976295,0.00017422
43,0.00384824,0.99584985
44,0.01245523,0.98662728
45,0.99978572,0.00014789
46,0.99974257,0.00017533
47,0.99971861,0.00017101
48,0.99971420,0.00021330
49,0.14041524,0.85900730
50,0.00550214,0.99414390
51,0.00510970,0.99438620
52,0.01243817,0.98709947
53,0.99959010,0.00035749
54,0.99906665,0.00084273
55,0.00258036,0.99700218
56,0.00554647,0.99415332
57,0.00418469,0.99555886
58,0.00399772,0.99569380
59,0.00396042,0.99581099
60,0.99752766,0.00190109
61,0.01613340,0.98326576
62,0.23835212,0.75981945
63,0.99955195,0.00036077
64,0.00327836,0.99637622
65,0.99969888,0.00025098
66,0.00437792,0.99539113
67,0.16078073,0.83849680
68,0.00537039,0.99440962
69,0.00558836,0.99241686
70,0.99969876,0.00017888
71,0.99969661,0.00024298
72,0.99937916,0.00041863
73,0.00349989,0.99615330
74,0.00511118,0.99460274
75,0.00648457,0.99287802
76,0.99973315,0.00020709
77,0.00302375,0.99667740
78,0.99962997,0.00031829
79,0.00771844,0.99183440
80,0.00473303,0.99488187
81,0.00881268,0.99055922
82,0.99971491,0.00023707
83,0.99965382,0.00026315
84,0.00445234,0.99507093
85,0.00315114,0.99656385
86,0.00258823,0.99713802
87,0.01284772,0.98671073
88,0.80525929,0.19397289
89,0.99973577,0.00015842
90,0.99971777,0.00022618
91,0.99958950,0.00029615
92,0.00928382,0.99031067
93,0.99971491,0.00019784
94,0.00346298,0.99623400
95,0.97327405,0.02552708
96,0.99945563,0.00041889
97,0.00323782,0.99641979
98,0.00549275,0.99381483
99,0.00503297,0.99438053
100,0.99978083,0.00017385
101,0.00736544,0.99222732
102,0.00486081,0.99483228
103,0.00539863,0.99418539
104,0.00672956,0.99282843
105,0.99975377,0.00019833
106,0.00696001,0.99269897
107,0.99904531,0.00083824
108,0.00396078,0.99557447
109,0.00391989,0.99565303
