line_id,p(Contr),p(Entl)
0,0.99725252,0.00242464
1,0.05619078,0.94218355
2,0.99826485,0.00161573
3,0.99802470,0.00182566
4,0.99822515,0.00159921
5,0.04552499,0.95295292
6,0.04126575,0.95736784
7,0.99880838,0.00102606
8,0.99795473,0.00139748
9,0.99609333,0.00348230
10,0.04782724,0.94936115
11,0.61031860,0.37392229
12,0.02659408,0.97180951
13,0.99704355,0.00242453
14,0.99852788,0.00103993
15,0.01836384,0.97956926
16,0.02145735,0.97716272
17,0.07575858,0.92055154
18,0.00896749,0.98959816
19,0.26717654,0.72945184
20,0.04545291,0.95255238
21,0.02243921,0.97582406
22,0.01664046,0.98238891
23,0.03064541,0.96633834
24,0.99853182,0.00126120
25,0.08498840,0.91359526
26,0.91269857,0.08666436
27,0.06615277,0.93062651
28,0.99841070,0.00116023
29,0.02739992,0.97151482
30,0.99792409,0.00190562
31,0.04486442,0.95197839
32,0.99868816,0.00098395
33,0.99666816,0.00269479
34,0.99860126,0.00119749
35,0.01268556,0.98537397
36,0.99796271,0.00154663
37,0.06241891,0.93492657
38,0.99899906,0.00080862
39,0.99877912,0.00085548
40,0.99920940,0.00068832
41,0.99886525,0.00093178
42,0.99926621,0.00055643
43,0.01392422,0.98360425
44,0.02331620,0.97409713
45,0.99839169,0.00152128
46,0.99783498,0.00186071
47,0.99847239,0.00100390
48,0.55808061,0.43512982
49,0.02458242,0.97438836
50,0.00791732,0.99124461
51,0.05579557,0.94300073
52,0.05017720,0.94765824
53,0.98540664,0.01410387
54,0.79803020,0.20019282
55,0.04828726,0.94982970
56,0.01925884,0.97960860
57,0.02158054,0.97692174
58,0.01732692,0.98116070
59,0.03590535,0.96287251
60,0.99245375,0.00697956
61,0.01083813,0.98727345
62,0.01960478,0.97771978
63,0.99615818,0.00348990
64,0.01224468,0.98660642
65,0.99228138,0.00722947
66,0.05056165,0.94758266
67,0.75420046,0.24367671
68,0.04896801,0.94011229
69,0.07179435,0.92091328
70,0.99699140,0.00282758
71,0.99598098,0.00374049
72,0.94987077,0.04906314
73,0.00936125,0.98871768
74,0.01933131,0.97999781
75,0.03757549,0.96072578
76,0.99805933,0.00184023
77,0.01658298,0.98259246
78,0.98594612,0.01332525
79,0.03822926,0.96088457
80,0.01050593,0.98825151
81,0.01220218,0.98714060
82,0.99914205,0.00060772
83,0.99362200,0.00615337
84,0.00890954,0.99035186
85,0.02917643,0.96983767
86,0.05712968,0.94078004
87,0.88545847,0.11305710
88,0.50027180,0.49875310
89,0.97736645,0.02167617
90,0.99788183,0.00193921
91,0.99089187,0.00881285
92,0.25205809,0.74205273
93,0.98633844,0.01288849
94,0.07361958,0.92067158
95,0.86216807,0.13655627
96,0.99811578,0.00166428
97,0.01461125,0.98408115
98,0.01700868,0.98174405
99,0.00877983,0.98946583
100,0.99840373,0.00136066
101,0.03656559,0.96142322
102,0.03204906,0.96630991
103,0.06716832,0.92994142
104,0.01814676,0.98063582
105,0.99840528,0.00147008
106,0.31415582,0.68416971
107,0.99767739,0.00223324
108,0.00470971,0.99477661
109,0.00633922,0.99180740
110,0.28665501,0.71104032
111,0.01321817,0.98584992
112,0.01588351,0.98297507
113,0.00631882,0.99311262
114,0.29483879,0.70120960
115,0.99838102,0.00144094
116,0.02969864,0.96637261
117,0.99777031,0.00186948
118,0.99739361,0.00212325
119,0.02738784,0.96999252
120,0.96821117,0.03140393
121,0.00879478,0.98972195
122,0.90076709,0.09638929
123,0.99721462,0.00258829
124,0.02183435,0.97625512
125,0.99506265,0.00471103
126,0.99551755,0.00433242
127,0.92458141,0.07277422
128,0.07991453,0.91786253
129,0.99597543,0.00383024
130,0.99662244,0.00316836
131,0.97787619,0.02161385
132,0.01479129,0.98443812
133,0.01094404,0.98739773
134,0.03269287,0.96603119
135,0.01002398,0.98875296
136,0.99158353,0.00809566
137,0.04657518,0.95084506
138,0.56715083,0.43121424
139,0.00514811,0.99358702
140,0.04333231,0.95514762
141,0.02114988,0.97772717
142,0.99177247,0.00756678
143,0.99832100,0.00146059
144,0.99765164,0.00215188
145,0.03556485,0.96290559
146,0.01101682,0.98719949
147,0.99813372,0.00161829
148,0.99661595,0.00294670
149,0.01305776,0.98517901
150,0.01529502,0.98331314
151,0.03087480,0.96759486
152,0.98954189,0.01007825
153,0.98556441,0.01389591
154,0.99864644,0.00121657
155,0.00523352,0.99393219
156,0.02348005,0.97394186
157,0.02093823,0.97761554
158,0.04625748,0.94637227
159,0.01937868,0.97918689
160,0.12451175,0.87141687
161,0.99291962,0.00665139
162,0.00757298,0.99106300
163,0.99380094,0.00586765
164,0.02002946,0.97790891
165,0.01048547,0.98843294
166,0.04394937,0.95514059
167,0.99574935,0.00393507
168,0.00792141,0.99096501
169,0.99723262,0.00216540
170,0.03219427,0.96535051
171,0.23050299,0.76393664
172,0.02666489,0.97155458
173,0.00334806,0.99581844
174,0.03546492,0.96221238
175,0.87657326,0.11784095
176,0.84983188,0.14933655
177,0.00688062,0.99174905
178,0.01875329,0.97967154
179,0.99815899,0.00167038
180,0.99188989,0.00779877
181,0.99608409,0.00365097
182,0.99767178,0.00200885
183,0.99864095,0.00110286
184,0.00921793,0.98858505
185,0.99136239,0.00789848
186,0.99791008,0.00186198
187,0.01562752,0.98297989
188,0.35564965,0.64359671
189,0.99902010,0.00085153
190,0.99891341,0.00099456
191,0.04791344,0.95047587
192,0.98423094,0.01473654
193,0.99421519,0.00501363
194,0.68221128,0.31508499
195,0.99729675,0.00250707
196,0.99622297,0.00346400
197,0.96040189,0.03816602
198,0.02024403,0.97786182
199,0.99857235,0.00117896
200,0.03249544,0.96603930
201,0.06239619,0.93252540
202,0.99744427,0.00230748
203,0.99881542,0.00087674
204,0.99524730,0.00429648
205,0.05432396,0.93641096
206,0.00841984,0.98968631
207,0.59226906,0.40217859
208,0.03710465,0.95991325
